index,sentence,context,regex_matches,fuzzy_matches,semantic_score,semantic_best_seed,cluster_label,zero_shot_raw
992,I,"30 I flagrant  marl,  jingling  his  turnpike  keys  and  bearing  aloft  amid 
the  fixed  pikes  of  the  hunting  party  a  high  perch  atop  of  which  a 
flowerpot  was  fixed  earthside  hoist  with  care.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1089,"it  was  this  overspoiled 
priest  Mr  Browne,  disguised  as  a  vincentian,  who,  when  seized 
of  the  facts,  was  overheard,  in  his  secondary  personality  as  a 
Nolan  and  underreared,  poul  soul,  by  accident — if,  that  is,  the 
incident  it  was  an  accident  for  here  the  ruah  of  Ecclectiastes 
of  Hippo  outpuffs  the  writress  of  Hawah-ban-Annah — to 
pianissime  a  slightly  varied  version  of  Crookedribs  confidentials, 
(what  Mere  Aloyse  said  but  for  Jesuphine's  sake !)","volatiles  valetotum!) it  was  this  overspoiled 
priest  Mr  Browne,  disguised  as  a  vincentian,  who,  when  seized 
of  the  facts,  was  overheard,  in  his  secondary  personality  as  a 
Nolan  and  underreared,  poul  soul,  by  accident — if,  that  is,  the 
incident  it  was  an  accident  for  here  the  ruah  of  Ecclectiastes 
of  Hippo  outpuffs  the  writress  of  Hawah-ban-Annah — to 
pianissime  a  slightly  varied  version  of  Crookedribs  confidentials, 
(what  Mere  Aloyse  said  but  for  Jesuphine's  sake !) hands  between 
hahands,  in  fealty  sworn  (my  bravor  best!",,disguise(100),,,4,
1264,I,"50 I tile  average  human  cloudyphiz,  whereas  sallow  has  long  daze 
faded,  frequently  altered  its  ego  with  the  possing  of  the  showers 
(Not  original!).",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1357,I,54 I so  as  he  was  able  to  add)  lobe  before  the  Great  Schoolmaster's.,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1389,I,56 I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1390,I,"I I raised  the  rains  have  levelled  but  we  hear  the  pointers  and  can 
gauge  their  compass  for  the  melos  yields  the  mode  and  the  mode 
the  manners  plicyman,  plansiman,  plousiman,  plab.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1452,I,"58 I deny  padouasoys,  girdle  and  braces  by  the  Halfmoon  and  Seven 
Stars,  russets  from  the  Blackamoor's  Head,  amongst  the  climbing 
boys  at  his  Eagle  and  Child  and  over  the  corn  and  hay  emptors 
at  their  Black  and  All  Black,  Mrs  F  .",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1509,I,"60 I scenities,  una  mona.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1543,I,62 I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1544,I,I I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1545,I,I I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1546,i,I i i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1547,i,"i i ing  in  a  bytheway  that  he,  the  crawsopper,  had,  in  edition  to 
Reade's  cutless  centiblade,  a  loaded  Hobson's  which  left  only  twin 
alternatives  as,  viceversa,  either  he  would  surely  shoot  her,  the 
aunt,  by  pistol,  (she  could  be  okaysure  of  that!)",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1550,"But  how  trans- 
paringly  nontrue,  gentlewriter!","or,  failing  of  such, 
bash  in  Patch's  blank  face  beyond  recognition,  pointedly  asked 
with  gaeilish  gall  wodkar  blizzard's  business  Thornton  had  with 
that  Kane's  fender  only  to  be  answered  by  the  aggravated 
assaulted  that  that  that  was  the  snaps  for  him,  Midweeks,  to  sultry 
well  go  and  find  out  if  he  was  showery  well  able. But  how  trans- 
paringly  nontrue,  gentlewriter! His  feet  one  is  not  a  tall  man,  not 
at  all,  man.",trans,,,,2,
1626,i,"\ i boleros  one  games  with  at  the  Nivynubies'  finery  ball  and  your 
upright  grooms  that  always  come  right  up  with  you  (and  by  jingo 
when  they  do!)",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1672,i,"68 i not,  has  been  the  expression,  direct  or  through  an  agent  male,  of 
womanhid  offended,  (ah!",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1698,I,"70 I ing  although  whitening  under  restraint  in  the  sititout  corner  of 
his  conservatory,  behind  faminebuilt  walls,  his  thermos  flask  and 
ripidian  flabel  by  his  side  and  a  walrus  whiskerbristle  for  a  tusk- 
pick,  compiled,  while  he  mourned  the  flight  of  his  wild  guineese, 
a  long  list  (now  feared  in  part  lost)  to  be  kept  on  file  of  all  abusive 
names  he  was  called  (we  have  been  compelled  for  the  rejoicement 
of  foinne  loidies  ind  the  humours  of  Milltown  etcetera  by  Joseph- 
ine Brewster  in  the  collision  known  as  Contrastations  with  Inker- 
mann  and  so  on  and  sononward,  lacies  in  loo  water,  flee,  celestials, 
one  clean  turv):",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1777,"additional  useful  councils  public  with  hoofd  off- 
dealings  which  were  welholden  of  ladykants  te  huur  out  such  as  the 
Breeders'  Union,  the  Guild  of  Merchants  of  the  Staple  et,  a.u.c.","carefully  lined  the  ferroconcrete  result  with  rotproof  bricks  and 
mortar,  fassed  to  fossed,  and  retired  beneath  the  heptarchy  of 
his  towerettes,  the  beauchamp,  byward,  bull  and  lion,  the  white, 
the  wardrobe  and  bloodied,  so  encouraging  (insteppen,  alls  als 
hats  beliefd!) additional  useful  councils  public  with  hoofd  off- 
dealings  which  were  welholden  of  ladykants  te  huur  out  such  as  the 
Breeders'  Union,  the  Guild  of  Merchants  of  the  Staple  et,  a.u.c. to 
present  unto  him  with  funebral  pomp,  over  and  above  that,  a  stone 
slab  with  the  usual  Mac  Pelah  address  of  velediction,  a  very  fair- 
worded  instance  of  falsemeaning  adamelegy:",,ladyman(86),,,5,
1795,I,"78 I took  the  ham  of,  the  plain  being  involved  in  darkness,  low  cirque 
waggery,  nay,  even  the  first  old  wugger  of  himself  in  the  flesh, 
whiggissimus  incarnadined,  when  falsesighted  by  the  ifsuchhewas 
bully  on  the  hill  for  there  had  circulated  freely  fairly  among  his 
opposition  the  feeling  that  in  so  hibernating  Massa  Ewacka,  who, 
previous  to  that  demidetached  life,  had  been  known  of  barmi- 
cidal  days,  cook  said,  between  soups  and  savours,  to  get  outside 
his  own  length  of  rainbow  trout  and  taerts  atta  tarn  as  no  man 
of  woman  born,  nay  could,  like  the  great  crested  brebe,  devour 
his  threescoreten  of  roach  per  lifeday,  ay,  and  as  many  minnow  a 
minute  (the  big  mix,  may  Gibbet  choke  him!)",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1900,"Robort)  to  show  that  King,  elois 
Crowbar,  once  known  as  Meleky,  impersonating  a  climbing  boy, 
rubbed  some  pixes  of  any  luvial  peatsmoor  o'er  his  face,  plucks 
and  pussas,  with  a  clanetourf  as  the  best  means  of  disguising 
himself  and  was  to  the  middlewhite  fair  in  Mudford  of  a  Thoors- 
day,  feishts  of  Peeler  and  Pole,  under  the  illassumed  names  of 
Tykingfest  and  Rabworc  picked  by  him  and  Anthony  out  of  a 
tellafun  book,  ellegedly  with  a  pedigree  pig  (unlicensed)  and  a 
hyacinth.","his  exution  with  all  the  fluors  of  sparse  in  the  royal  Irish  vocabulary 
how  the  whole  padderjagmartin  tripiezite  suet  and  all  the  sulfeit 
of  copperas  had  fallen  off  him  quatz  unaccountably  like  the 
chrystalisations  of  Alum  on  Even  while  he  was  trying  for  to  stick 
fire  to  himcell,  (in  feacht  he  was  dripping  as  he  found  upon  strip- 
ping for  a  pipkin  ofmalt  as  he  feared  the  coold  raine)  it  was 
attempted  by  the  crown  (P.C. Robort)  to  show  that  King,  elois 
Crowbar,  once  known  as  Meleky,  impersonating  a  climbing  boy, 
rubbed  some  pixes  of  any  luvial  peatsmoor  o'er  his  face,  plucks 
and  pussas,  with  a  clanetourf  as  the  best  means  of  disguising 
himself  and  was  to  the  middlewhite  fair  in  Mudford  of  a  Thoors- 
day,  feishts  of  Peeler  and  Pole,  under  the  illassumed  names  of 
Tykingfest  and  Rabworc  picked  by  him  and  Anthony  out  of  a 
tellafun  book,  ellegedly  with  a  pedigree  pig  (unlicensed)  and  a 
hyacinth. They  were  on  that  sea  by  the  plain  of  Ir  nine  hundred 
and  ninetynine  years  and  they  never  cried  crack  or  ceased  from 
regular  paddlewicking  till  that  they  landed  their  two  and  a 
trifling  selves,  amadst  camel  and  ass,  greybeard  and  suckling, 
priest  and  pauper,  matrmatron  and  merrymeg,  into  the  meddle 
of  the  mudstorm.",,disguise(88),,,4,
1905,I,86 I i',,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
1955,I,"jl 
i I place.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
2227,a  hundred  of  manhood  and  a  wimmering  of  weibes.,"97 a  hundred  of  manhood  and  a  wimmering  of  weibes. Big  went 
the  bang:  then  wildewide  was  quiet:  a  report:  silence:  last  Fama 
put  it  under  ether.",manhood,manhood(100),,,1,
2253,I,4 I bird!,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
2267,"might  be  anywhere  when  a  disguised  ex- 
nun,  of  huge  standbuild  and  masculine  manners  in  her  fairly  fat 
forties,  Carpulenta  Gygasta,  hattracted  hattention  by  harbitrary 
conduct  with  a  homnibus.","He  was  loose  at 
large  and  (Oh  baby!) might  be  anywhere  when  a  disguised  ex- 
nun,  of  huge  standbuild  and  masculine  manners  in  her  fairly  fat 
forties,  Carpulenta  Gygasta,  hattracted  hattention  by  harbitrary 
conduct  with  a  homnibus. Aerials  buzzed  to  coastal  listeners  of 
an  oertax  bror  collector's  budget,  fullybigs,  sporran,  tie,  tuft, 
tabard  and  bloody  antichill  cloak,  its  tailor's  (Baernfather's)  tab 
reading  V.P.H.,  found  nigh  Scaldbrothar's  Hole,  and  divers 
shivered  to  think  what  kaind  of  beast,  wolves,  croppis's  or  four- 
penny  friars,  had  devoured  him.",,disguise(100),,,1,
2373,i,1 06 i I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
2374,I,"i I i 
I",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
2376,I,"i 
I I I.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
2379,i,] i U  ^  dx  ^,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
2438,I,\ I ■,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
2689,m,130 m life;,,become a woman(100); become a man(100); born a woman(100); born a man(100); manhood(100); womanhood(100); hermaphrodite(100); ladyman(100); mannish(100); woman-man(100); women men(100); man-woman(100); dressed as a man(100); dressed as a woman(100); become other(100),,,6,
2726,"Kukkuk  Kallikak;  heard  in  camera  and 
excruciated;  boon  when  with  benches  billeted,  bann  if  buckshot- 
backshattered;  heavengendered,  chaosfoedted,  earthborn;  his 
father  presumptively  ploughed  it  deep  on  overtime  and  his 
mother  as  all  evince  must  have  travailled  her  fair  share;  a  foot- 
prinse  on  the  Megacene,  hetman  unwhorsed  by  Searingsand; 
honorary  captain  of  the  extemporised  fire  brigade,  reported  to 
be  friendly  with  the  police;  the  door  is  still  open;  the  old  stock 
collar  is  coming  back;  not  forgetting  the  time  you  laughed  at 
Elder  Charterhouse's  duckwhite  pants  and  the  way  you  said  the 
whole  township  can  see  his  hairy  legs;  by  stealth  of  a  kersse  her 
aulburntress  abaft  his  nape  she  hung;  when  his  kettle  became  a 
hearthsculdus  our  thorstyites  set  their  lymphyamphyre;  his  year- 
letter  concocted  by  masterhands  of  assays,  his  hallmark  imposed 
by  the  standard  of  wrought  plate;  a  pair  of  pectorals  and  a  triple- 
screen  to  get  a  wind  up;  lights  his  pipe  with  a  rosin  tree  and  hires 
a  towhorse  to  haul  his  shoes;  cures  slavey's  scurvy,  breaks 
barons  boils;  called  to  sell  polosh  and  was  found  later  in  a  bed- 
room; has  his  seat  of  justice,  his  house  of  mercy,  his  corn  o'copious 
and  his  stacks  a'rye;  prospector,  he  had  a  rooksacht,  retrospector, 
he  holds  the  holpenstake;  won  the  freedom  of  new  yoke  for  the 
minds  of  jugoslaves;  acts  active,  peddles  in  passivism  and  is  a 
gorgon  of  selfridgeousness;  pours  a  laughsworth  of  his  informa- 
tion over  a  larmsworth  of  salt;  half  heard  the  single  maiden 
speech  La  Belle  spun  to  her  Grand  Mount  and  wholed  a  lifetime","Hugglebelly's  Funniral; Kukkuk  Kallikak;  heard  in  camera  and 
excruciated;  boon  when  with  benches  billeted,  bann  if  buckshot- 
backshattered;  heavengendered,  chaosfoedted,  earthborn;  his 
father  presumptively  ploughed  it  deep  on  overtime  and  his 
mother  as  all  evince  must  have  travailled  her  fair  share;  a  foot- 
prinse  on  the  Megacene,  hetman  unwhorsed  by  Searingsand; 
honorary  captain  of  the  extemporised  fire  brigade,  reported  to 
be  friendly  with  the  police;  the  door  is  still  open;  the  old  stock 
collar  is  coming  back;  not  forgetting  the  time  you  laughed  at 
Elder  Charterhouse's  duckwhite  pants  and  the  way  you  said  the 
whole  township  can  see  his  hairy  legs;  by  stealth  of  a  kersse  her 
aulburntress  abaft  his  nape  she  hung;  when  his  kettle  became  a 
hearthsculdus  our  thorstyites  set  their  lymphyamphyre;  his  year- 
letter  concocted  by  masterhands  of  assays,  his  hallmark  imposed 
by  the  standard  of  wrought  plate;  a  pair  of  pectorals  and  a  triple- 
screen  to  get  a  wind  up;  lights  his  pipe  with  a  rosin  tree  and  hires 
a  towhorse  to  haul  his  shoes;  cures  slavey's  scurvy,  breaks 
barons  boils;  called  to  sell  polosh  and  was  found  later  in  a  bed- 
room; has  his  seat  of  justice,  his  house  of  mercy,  his  corn  o'copious 
and  his  stacks  a'rye;  prospector,  he  had  a  rooksacht,  retrospector, 
he  holds  the  holpenstake;  won  the  freedom  of  new  yoke  for  the 
minds  of  jugoslaves;  acts  active,  peddles  in  passivism  and  is  a 
gorgon  of  selfridgeousness;  pours  a  laughsworth  of  his  informa- 
tion over  a  larmsworth  of  salt;  half  heard  the  single  maiden 
speech  La  Belle  spun  to  her  Grand  Mount  and  wholed  a  lifetime 137",,gendered(100),,,5,
2793,I,142 I i,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
2794,i,I i I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
2795,I,"i I hose  hol'd  home,  yeth  cometh  elope  year,  coach  and  four.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
3087,"And  you,  Bruno  Nowlan,  take  your  tongue  out  of  your  inkpot  1 
As  none  of  you  knows  javanese  I  will  give  all  my  easyfree  trans- 
lation of  the  old  fabulist's  parable.","Imagine  for  my  purpose  that  you  are  a 
squad  of  urchins,  snifflynosed,  goslingnecked,  clothyheaded, 
tangled  in  your  lacings,  tingled  in  your  pants,  etsitaraw  etcicero. And  you,  Bruno  Nowlan,  take  your  tongue  out  of  your  inkpot  1 
As  none  of  you  knows  javanese  I  will  give  all  my  easyfree  trans- 
lation of  the  old  fabulist's  parable. Allaboy  Minor,  take  your 
head  out  of  your  satchel!",trans,,,,2,
3099,I,152 I 1,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
3264,i,"IS8 i shieling,  it  is,  De  Rore  Coeli.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
3470,I,170 I I,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
3471,I,I I swamp  of  bogoakgravy  for  that  greekenhearted  yude!,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
3607,r,"oia\ r board  (trying  to  copy  the  stage  Englesemen  he  broughts  their 
house  down  on,  shouting:",,transgender(100); transsexual(100); transvestite(100); gender identity(100); cross-dress(100); cross dressing(100); born a woman(100); born a man(100); androgyne(100); androgyny(100); hermaphrodite(100); two-spirit(100); gendered(100); genderless(100); boy-girl(100); dressed as a man(100); dressed as a woman(100); become other(100); switching roles(100); wearing the other's clothes(100),,,7,
3665,"continuous  present  tense  integument  slowly  unfolded  all  marry- 
voising  moodmoulded  cyclewheeling  history  (thereby,  he  said, 
reflecting  from  his  own  individual  person  life  unlivable,  trans- 
accidentated  through  the  slow  fires  of  consciousness  into  a  divi- 
dual chaos,  perilous,  potent,  common  to  allflesh,  human  only, 
mortal)  but  with  each  word  that  would  not  pass  away  the  squid- 
self  which  he  had  squirtscreened  from  the  crystalline  world 
waned  chagreenold  and  doriangrayer  in  its  dudhud.","185 continuous  present  tense  integument  slowly  unfolded  all  marry- 
voising  moodmoulded  cyclewheeling  history  (thereby,  he  said, 
reflecting  from  his  own  individual  person  life  unlivable,  trans- 
accidentated  through  the  slow  fires  of  consciousness  into  a  divi- 
dual chaos,  perilous,  potent,  common  to  allflesh,  human  only, 
mortal)  but  with  each  word  that  would  not  pass  away  the  squid- 
self  which  he  had  squirtscreened  from  the  crystalline  world 
waned  chagreenold  and  doriangrayer  in  its  dudhud. This  exists 
that  isits  after  having  been  said  we  know.",trans,,,,2,
3817,I,"194 I slipping  sly  by  Sallynoggin,  as  happy  as  the  day  is  wet,  bab- 
bling, bubbling,  chattering  to  herself,  deloothering  the  fields  on 
their  elbows  leaning  with  the  sloothering  slide  of  her,  giddy- 
gaddy,  grannyma,  gossipaceous  Anna  Livia.",,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
3823,o,"195 o tell  me  all  about 
Anna  Li  via!",,cross-dress(100); cross dressing(100); become a woman(100); become a man(100); born a woman(100); born a man(100); manhood(100); womanhood(100); androgyne(100); androgyny(100); hermaphrodite(100); two-spirit(100); woman-man(100); women men(100); man-woman(100); boy-girl(100); dressed as a woman(100); become other(100); switching roles(100); wearing the other's clothes(100),,,0,
4117,i,204 i L,,transvestite(100); gender identity(100); cross dressing(100); hermaphrodite(100); two-spirit(100); changing sex(100); mannish(100); boy-girl(100); disguise(100); switching roles(100); wearing the other's clothes(100),,,3,
4118,L,"i L Through  her  catchment  ring  she  freed  them  easy,  with  her  hips* 
hurrahs  for  her  knees'dontelleries.",,transsexual(100); genderless(100); sexless(100); ladyman(100); boy-girl(100); switching roles(100); wearing the other's clothes(100),,,9,
4152,And,"This 
is  the  Hausman  all  paven  and  stoned,  that  cribbed  the  Cabin  that 
never  was  owned  that  cocked  his  leg  and  hennad  his  Egg. And 205",,androgyne(100); androgyny(100),,,0,
